CNPJ_FUNDO,DT_COMPTC,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA,NR_COTST
03051783000120,2005-01-03,216723.45,235.2247,217415.14,0.0,0.0,14
03051783000120,2005-01-04,211229.44,229.279912,211921.13,0.0,0.0,14
03051783000120,2005-01-05,206630.57,224.304342,207322.26,0.0,0.0,14
03051783000120,2005-01-06,204261.27,221.74168,204952.96,0.0,0.0,14
03051783000120,2005-01-07,206477.07,224.13899,207168.76,0.0,0.0,14
03051783000120,2005-01-10,204215.82,221.69251,204907.51,0.0,0.0,14
03051783000120,2005-01-11,203567.42,220.99099,204259.11,0.0,0.0,14
03051783000120,2005-01-12,203161.03,220.22055132,203852.72,0.0,0.0,14
03051783000120,2005-01-13,206842.72,224.53459,207534.41,0.0,0.0,14
03051783000120,2005-01-14,207279.05,225.00305,207967.4,0.0,0.0,14
03051783000120,2005-01-17,207240.03,224.96445,207931.72,0.0,0.0,14
03051783000120,2005-01-18,203621.44,221.04944,204313.13,0.0,0.0,14
03051783000120,2005-01-19,203548.86,220.97091,204240.55,0.0,0.0,14
03051783000120,2005-01-20,199681.28,216.78652,200372.97,0.0,0.0,14
03051783000120,2005-01-21,200852.07,218.05322,201543.76,0.0,0.0,14
03051783000120,2005-01-24,135913.19,220.28317,203604.88,0.0,0.0,14
03051783000120,2005-01-25,135906.0,220.27539,139779.06,0.0,63818.63,13
03051783000120,2005-01-26,137554.5,222.87323,141427.56,0.0,0.0,13
03051783000120,2005-01-27,135771.99,220.06421,139645.05,0.0,0.0,13
03051783000120,2005-01-28,0.0,217.9368,0.0,0.0,138295.05,13
