CNPJ_FUNDO,DT_COMPTC,VL_TOTAL,VL_QUOTA,VL_PATRIM_LIQ,CAPTC_DIA,RESG_DIA,NR_COTST
8828874000143,2007-07-12,7506177.19,10.008090800000002,7506068.13,0.0,0.0,1
8828874000143,2007-07-13,7511606.43,10.0152504,7511437.8,0.0,0.0,1
8828874000143,2007-07-16,7516055.34,10.021102800000001,7515827.1,0.0,0.0,1
8828874000143,2007-07-17,7518000.07,10.0236162,7517712.18,0.0,0.0,1
8828874000143,2007-07-18,7522490.89,10.029524400000001,7522143.34,0.0,0.0,1
8828874000143,2007-07-19,7525566.31,10.0335454,7525159.06,0.0,0.0,1
8828874000143,2007-07-20,7525556.14,10.0334522,7525089.17,0.0,0.0,1
8828874000143,2007-07-23,7527910.56,10.0365118,7527383.87,0.0,0.0,1
8828874000143,2007-07-24,7531026.28,10.0405761,7530432.12,0.0,0.0,1
8828874000143,2007-07-25,7531306.39,10.0408596,7530644.74,0.0,0.0,1
8828874000143,2007-07-26,7533233.29,10.0433388,7532504.14,0.0,0.0,1
8828874000143,2007-07-27,7526677.57,10.0345078,7525880.92,0.0,0.0,1
8828874000143,2007-07-30,7535412.09,10.046063900000002,7534547.98,0.0,0.0,1
8828874000143,2007-07-31,7539738.05,10.0517418,7538806.42,0.0,0.0,1
8828874000143,2007-08-01,7542227.14,10.0549706,7541227.95,0.0,0.0,1
8828874000143,2007-08-02,7543462.86,10.0577218,7543291.38,0.0,0.0,1
8828874000143,2007-08-03,7547837.92,10.0634651,7547598.84,0.0,0.0,1
8828874000143,2007-08-06,7539793.45,10.052649,7539486.75,0.0,0.0,1
8828874000143,2007-08-07,7543226.99,10.0571369,7542852.72,0.0,0.0,1
8828874000143,2007-08-08,7554893.52,10.0726022,7554451.67,0.0,0.0,1
8828874000143,2007-08-09,7556578.25,10.0747582,7556068.71,0.0,0.0,1
8828874000143,2007-08-10,7550738.62,10.0668818,7550161.39,0.0,0.0,1
8828874000143,2007-08-13,7554775.1,10.0721362,7554102.18,0.0,0.0,1
8828874000143,2007-08-14,7558055.14,10.076382,7557286.51,0.0,0.0,1
8828874000143,2007-08-15,7550589.93,10.066412800000002,7549809.67,0.0,0.0,1
8828874000143,2007-08-16,7531462.46,10.0408194,7530614.55,0.0,0.0,1
8828874000143,2007-08-17,7518096.97,10.0229087,7517181.57,0.0,0.0,1
8828874000143,2007-08-20,7528938.84,10.0372747,7527956.05,0.0,0.0,1
8828874000143,2007-08-21,7532550.6,10.0420004,7531500.34,0.0,0.0,1
8828874000143,2007-08-22,7533368.67,10.0430012,7532250.91,0.0,0.0,1
8828874000143,2007-08-23,7540436.05,10.0523343,7539250.79,0.0,0.0,1
8828874000143,2007-08-24,7544148.77,10.0571945,7542895.94,0.0,0.0,1
